time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2021/2/3 9:52,1.36696,1.36697,1.36682,1.36684,1.36706,1.36707,1.36692,1.36694
2021/2/3 9:53,1.36684,1.36685,1.36674,1.36674,1.36694,1.36695,1.36684,1.36684
2021/2/3 9:54,1.36674,1.36674,1.36644,1.36654,1.36684,1.36684,1.36654,1.36664
2021/2/3 9:55,1.36654,1.36663,1.36645,1.3666,1.36664,1.36673,1.36655,1.3667
2021/2/3 9:56,1.3666,1.3666,1.36653,1.3666,1.3667,1.3667,1.36663,1.3667
2021/2/3 9:57,1.3666,1.36675,1.3666,1.3667,1.3667,1.36685,1.3667,1.3668
2021/2/3 9:58,1.3667,1.3668,1.36669,1.36676,1.3668,1.3669,1.36679,1.36686
2021/2/3 9:59,1.36676,1.36678,1.36673,1.36673,1.36686,1.36688,1.36683,1.36683
2021/2/3 10:00,1.36673,1.36691,1.36673,1.36691,1.36683,1.36701,1.36683,1.36701
2021/2/3 10:01,1.36691,1.36695,1.36685,1.3669,1.36701,1.36705,1.36695,1.367
2021/2/3 10:02,1.3669,1.3669,1.36669,1.36672,1.367,1.367,1.36679,1.36682
2021/2/3 10:03,1.36672,1.36672,1.36654,1.36654,1.36682,1.36682,1.36664,1.36664
2021/2/3 10:04,1.36654,1.36654,1.36644,1.36652,1.36664,1.36664,1.36654,1.36662
2021/2/3 10:05,1.36652,1.36656,1.36646,1.36655,1.36662,1.36666,1.36656,1.36665
2021/2/3 10:06,1.36655,1.36671,1.36653,1.36668,1.36665,1.36681,1.36663,1.36678
2021/2/3 10:07,1.36668,1.36669,1.36659,1.36663,1.36678,1.36679,1.36669,1.36673
2021/2/3 10:08,1.36663,1.36669,1.36657,1.36665,1.36673,1.36679,1.36667,1.36675
2021/2/3 10:09,1.36665,1.36667,1.36662,1.36665,1.36675,1.36677,1.36672,1.36675
2021/2/3 10:10,1.36665,1.36685,1.36664,1.36684,1.36675,1.36695,1.36674,1.36694
2021/2/3 10:11,1.36684,1.36704,1.36684,1.36698,1.36694,1.36714,1.36694,1.36708
2021/2/3 10:12,1.36698,1.36698,1.36688,1.36688,1.36708,1.36708,1.36698,1.36698
2021/2/3 10:13,1.36688,1.36695,1.36688,1.36691,1.36698,1.36705,1.36698,1.36701
2021/2/3 10:14,1.36691,1.36709,1.3669,1.36708,1.36701,1.36719,1.367,1.36718
2021/2/3 10:15,1.36708,1.36743,1.36695,1.36741,1.36718,1.36753,1.36705,1.36751
2021/2/3 10:16,1.36741,1.36761,1.36733,1.3676,1.36751,1.36771,1.36743,1.3677
2021/2/3 10:17,1.3676,1.36781,1.36757,1.36775,1.3677,1.36791,1.36767,1.36785
2021/2/3 10:18,1.36775,1.36788,1.36767,1.36771,1.36785,1.36798,1.36777,1.36781
2021/2/3 10:19,1.36771,1.36796,1.36771,1.36793,1.36781,1.36806,1.36781,1.36803
2021/2/3 10:20,1.36793,1.36793,1.3678,1.36783,1.36803,1.36803,1.3679,1.36793
2021/2/3 10:21,1.36783,1.36783,1.36767,1.36773,1.36793,1.36793,1.36777,1.36783
2021/2/3 10:22,1.36773,1.36774,1.3677,1.36772,1.36783,1.36784,1.3678,1.36782
2021/2/3 10:23,1.36772,1.36784,1.36765,1.36782,1.36782,1.36794,1.36775,1.36792
2021/2/3 10:24,1.36782,1.36783,1.36777,1.36782,1.36792,1.36793,1.36787,1.36792
2021/2/3 10:25,1.36782,1.36784,1.36765,1.36765,1.36792,1.36794,1.36775,1.36775
2021/2/3 10:26,1.36765,1.36776,1.3676,1.36768,1.36775,1.36786,1.3677,1.36778
2021/2/3 10:27,1.36768,1.36776,1.3676,1.36765,1.36778,1.36786,1.3677,1.36775
2021/2/3 10:28,1.36765,1.36771,1.3676,1.36761,1.36775,1.36781,1.3677,1.36771
2021/2/3 10:29,1.36761,1.36764,1.36751,1.36757,1.36771,1.36774,1.36761,1.36767
2021/2/3 10:30,1.36757,1.36767,1.36755,1.36765,1.36767,1.36777,1.36765,1.36775
2021/2/3 10:31,1.36765,1.36766,1.36745,1.36751,1.36775,1.36776,1.36755,1.36761
2021/2/3 10:32,1.36751,1.36755,1.36743,1.36744,1.36761,1.36765,1.36753,1.36754
2021/2/3 10:33,1.36744,1.36744,1.36732,1.36735,1.36754,1.36754,1.36742,1.36745
2021/2/3 10:34,1.36735,1.36739,1.36731,1.36739,1.36745,1.36749,1.36741,1.36749
2021/2/3 10:35,1.36739,1.36753,1.36737,1.36753,1.36749,1.36763,1.36747,1.36763
2021/2/3 10:36,1.36753,1.36759,1.36752,1.36759,1.36763,1.36769,1.36762,1.36769
2021/2/3 10:37,1.36759,1.36771,1.36754,1.36767,1.36769,1.36781,1.36764,1.36777
2021/2/3 10:38,1.36767,1.3678,1.36766,1.36777,1.36777,1.3679,1.36776,1.36787
2021/2/3 10:39,1.36777,1.36777,1.3674,1.36748,1.36787,1.36787,1.3675,1.36758
2021/2/3 10:40,1.36748,1.36753,1.36743,1.36751,1.36758,1.36763,1.36753,1.36761
2021/2/3 10:41,1.36751,1.36777,1.36751,1.36774,1.36761,1.36787,1.36761,1.36784
2021/2/3 10:42,1.36774,1.36783,1.36773,1.36782,1.36784,1.36793,1.36783,1.36792
2021/2/3 10:43,1.36782,1.36782,1.36775,1.36779,1.36792,1.36792,1.36785,1.36789
2021/2/3 10:44,1.36779,1.36779,1.36763,1.36765,1.36789,1.36789,1.36773,1.36775
2021/2/3 10:45,1.36765,1.36765,1.36755,1.36762,1.36775,1.36775,1.36765,1.36772
2021/2/3 10:46,1.36762,1.36763,1.36755,1.36756,1.36772,1.36773,1.36765,1.36766
2021/2/3 10:47,1.36756,1.36768,1.36756,1.36759,1.36766,1.36778,1.36766,1.36769
2021/2/3 10:48,1.36759,1.36762,1.3675,1.36762,1.36769,1.36772,1.3676,1.36772
